-- 0 --a:1  --b:24 ---
13 11 24 11 5 24 12 24 30 17 31 10 13 15 31 17 13 13 27 14 25 22 26 21 17 5 19 1 13 1 15 32 10 21 5 25 25 29 26 30 24 20 19 29 33 23 27 19 27 11 21 3 26 16 26 18 6 5 7 25 20 34 18 22 13 13 22 6 30 21 21 15 21 13 17 3 7 3 26 19 13 22 21 26 18 1 31 12 24 15 28 22 30 11 15 16 33 7 8 33 16 12 5 10 9 21 10 26 14 22 15 18 5 6 32 12 8 11 2 9 18 18 3 18 32 11 8 11 21 4 8 6 28 28 18 31 25 29 16 3 23 25 21 8 31 15 30 34 23 22 13 15 11 20 9 32 20 33 14 21 18 18 17 34 17 14 9 33 1 4 1 6 19 12 3 31 22 9 28 25 27 8 31 7 8 23 7 10 12 14 32 11 31 9 18 7 14 4 28 25 18 18 19 30 32 25 18 22 27 2 29 18 2 25 6 20 8 23 7 8 34 23 2 16 11 30 13 28 30 10 25 11 21 22 16 30 30 15 34 15 24 20 18 22 9 21 17 7 1 27 17 17 34 2 25 34 19 33 29 29 31 13 16 9 33 9 26 12 22 31 13 4 20 17 3 19 17 8 34 29 8 1 23 2 31 16 6 16 28 29 24 24 23 19 29 16 4 3 3 7 13 23 21 1 33 6 7 24 24 5 8 2 22 18 20 17 18 22 15 29 14 10 27 29 34 28 1 4 33 26 5 8 17 32 4 7 20 24 12 32 25 16 22 2 30 30 34 31 17 12 6 3 3 15 10 34 3 13 34 16 30 10 18 30 34 17 14 16 21 10 18 17 11 33 6 13 30 9 17 14 29 10 28 26 20 27 34 7 16 21 32 29 1 5 26 11 33 33 25 21 29 1 9 6 16 18 18 33 19 5 3 33 26 12 16 16 28 26 5 24 15 9 11 5 16 17 25 14 25 14 29 10 1 27 18 25 24 6 21 7 9 6 13 2 24 2 26 1 28 16 27 26 30 9 10 33 8 5 26 3 11 22 9 9 28 25 20 20 22 27 26 3 13 7 4 5 24 9 1 14 11 24 15 8 18 4 21 28 19 26 26 24 20 8 20 29 28 10 2 10 12 26 22 18 14 11 33 19 9 2 26 34 21 26 25 25 18 17 26 29 3 27 21 34 28 12 11 25 30 2 16 30 11 27 32 27 13 10 3 16 20 4 21 29 28 28 19 11 16 4 24 14 23 14 20 5 34 7 3 25 26 12 18 32 20 30 11 7 28 7 11 21 34 5 12 11 22 29 20 21 13 14 7 3 13 5 8 3 2 9 20 25 29 22 4 19 30 24 1 29 15 29 26 33 9 1 7 23 15 1 17 13 24 27 18 20 5 18 29 16 34 34 9 15 16 25 19 6 17 4 11 4 21 23 3 5 16 1 5 26 25 4 7 1 34 32 19 28 13 3 19 1 23 12 6 18 33 12 24 16 28 24 32 32 11 12 3 26 3 3 34 32 2 16 24 19 31 2 33 1 26 12 24 4 5 8 17 25 16 32 6 33 7 18 6 6 14 15 22 10 30 14 31 17 27 9 1 24 14 2 1 33 23 15 12 33 5 28 33 26 33 27 32 20 32 23 32 14 6 29 16 4 30 15 32 33 32 25 12 14 30 33 3 16 19 4 19 12 9 23 34 6 29 1 1 32 28 9 18 13 22 1 22 26 20 10 15 17 25 1 9 31 28 5 9 34 22 17 10 28 12 17 31 15 14 22 23 8 28 4 30 22 13 20 3 27 1 23 1 24 26 29 15 16 3 15 1 32 25 22 14 32 1 24 12 6 8 4 22 2 16 27 4 12 24 18 8 4 2 18 10 30 5 34 4 18 10 4 27 11 20 30 2 14 16 31 14 21 3 5 28 20 17 4 26 7 19 1 7 34 19 27 7 9 21 9 33 13 18 17 12 26 7 8 28 15 5 13 19 28 21 32 28 3 6 31 11 19 5 31 25 29 9 15 14 11 5 27 6 5 27 2 13 22 3 9 28 33 1 30 6 7 28 20 11 16 19 29 24 1 14 10 19 14 24 29 7 18 33 32 28 8 18 11 29 14 26 5 16 25 20 13 7 6 21 16 13 7 31 24 3 4 33 34 27 19 33 10 5 17 9 10 6 23 26 31 14 25 6 14 34 26 4 16 32 6 6 29 27 20 22 19 29 16 20 4 1 5 12 22 26 21 10 17 10 21 31 30 26 4 25 13 18 17 5 25 9 10 4 7 34 27 8 17 18 1 11 1 31 27 34 1 15 25 2 1 1:  3.80117%
2:  2.14425%
3:  3.11891%
4:  2.92398%
5:  3.21637%
6:  2.82651%
7:  2.92398%
8:  2.33918%
9:  3.11891%
10:  2.63158%
11:  3.02144%
12:  2.53411%
13:  3.02144%
14:  3.02144%
15:  2.63158%
16:  3.7037%
17:  3.11891%
18:  3.89864%
19:  2.72904%
20:  2.82651%
21:  3.02144%
22:  3.02144%
23:  1.85185%
24:  3.02144%
25:  3.41131%
26:  3.7037%
27:  2.63158%
28:  3.11891%
29:  3.11891%
30:  2.72904%
31:  2.24172%
32:  2.63158%
33:  3.02144%
34:  2.92398%


-- 4 --a:1  --b:38 ---
35 21 4 21 1 29 6 6 34 32 22 37 4 25 37 15 14 34 31 15 6 33 10 7 30 24 31 10 10 29 13 21 24 27 6 33 12 12 28 28 33 2 26 1 35 22 7 28 26 3 37 8 37 10 29 24 15 5 35 33 21 1 29 1 12 11 8 8 36 31 14 10 19 33 22 28 33 29 20 23 24 27 33 32 28 24 20 8 1 28 21 9 19 29 32 19 10 14 37 18 31 10 23 9 35 10 29 16 10 35 33 32 5 6 14 31 11 19 22 19 30 17 16 11 17 2 22 34 11 9 1 29 4 1 22 14 34 31 25 2 1 2 10 1 35 18 2 35 4 37 30 37 29 37 29 33 5 9 34 19 36 10 18 3 16 14 28 11 14 35 22 8 12 2 5 1 11 1 26 10 6 18 24 8 18 15 36 1 22 3 22 21 3 36 18 14 17 2 16 24 25 37 19 26 8 22 37 10 11 18 1 15 12 34 31 35 17 22 27 18 21 30 6 7 27 18 30 37 36 31 19 24 11 25 36 15 12 7 32 19 5 7 24 13 9 35 35 23 34 18 25 21 21 8 2 21 9 17 24 20 15 8 22 21 9 9 9 17 22 15 17 4 20 15 30 37 24 16 2 14 20 34 32 33 35 18 14 31 27 24 34 37 18 9 32 20 2 5 5 26 27 30 19 16 11 6 28 24 31 7 21 18 7 32 29 33 18 30 29 3 22 35 4 34 9 20 32 21 11 26 27 17 2 29 8 33 6 29 36 18 3 18 19 26 15 2 4 15 17 34 3 25 25 31 8 14 6 1 37 20 16 7 5 22 12 36 13 11 19 15 2 26 12 10 9 15 31 23 28 30 7 19 4 6 22 37 2 6 25 36 14 33 2 16 5 30 30 4 6 15 16 8 20 25 23 34 11 13 11 2 26 28 20 23 15 15 27 28 3 19 10 14 27 22 26 4 34 1 24 37 37 28 12 25 1 19 3 12 32 24 18 1 16 33 33 33 36 20 37 20 36 3 33 25 17 12 37 28 14 30 13 23 28 18 11 33 17 2 36 34 16 3 24 2 32 25 32 25 22 15 17 23 28 1 3 14 11 26 13 2 18 26 16 9 20 25 27 7 35 21 1 37 21 9 4 25 4 3 30 5 16 34 14 1 33 15 27 12 34 9 15 20 29 24 22 17 31 15 3 26 30 24 14 20 1 32 18 34 11 7 1 11 23 23 7 36 35 20 12 17 6 3 16 12 9 36 10 10 30 15 3 3 4 18 10 18 19 22 24 23 5 35 33 26 32 15 11 26 12 18 5 24 15 6 19 9 23 25 18 16 28 27 27 20 22 25 29 10 23 33 36 31 17 1 7 30 21 14 20 22 21 6 20 35 11 19 20 23 16 17 32 7 17 31 24 20 34 16 8 31 37 33 19 28 10 36 32 25 10 14 37 13 37 24 13 32 34 37 32 28 26 6 26 19 6 36 1 18 3 8 18 19 27 31 21 20 29 29 11 9 32 19 13 35 17 15 10 28 30 1 27 5 31 7 33 14 16 19 33 19 7 16 32 4 19 31 12 27 37 3 10 34 6 18 4 30 33 26 7 11 34 13 16 18 8 10 32 7 16 28 31 32 23 22 29 28 22 26 32 17 16 1 16 20 11 17 24 28 20 15 10 8 25 27 24 24 9 7 3 16 3 29 28 24 26 13 35 31 16 31 19 22 16 9 37 33 9 13 34 7 33 12 35 17 34 37 4 8 11 29 10 13 23 31 25 28 16 19 18 15 21 12 7 19 2 20 4 19 24 5 33 14 3 20 17 7 29 36 27 15 24 23 28 34 12 35 26 23 29 8 10 16 2 4 24 29 3 30 13 7 27 2 2 12 10 3 5 16 5 24 25 7 26 34 31 22 13 27 33 7 6 4 30 36 15 18 17 23 8 10 6 11 30 4 13 9 20 13 26 27 25 7 24 10 25 18 1 7 16 25 10 15 26 6 25 35 30 34 37 15 2 15 37 37 24 12 9 21 7 35 11 18 36 10 14 30 29 6 1 13 5 17 15 6 23 37 2 24 35 23 36 23 37 25 23 37 32 30 31 18 30 21 35 15 10 3 16 14 14 6 20 12 12 17 11 15 8 36 27 9 19 34 21 11 34 32 10 4 18 1 19 17 13 16 15 24 30 35 28 35 35 2 3 28 34 15 19 6 6 8 12 3 8 31 36 12 20 26 9 33 31 32 29 32 34 31 27 2 19 34 25 16 27 17 27 11 26 32 29 31 18 26 11 25 7 20 5 9 33 35 37 8 17 37 1 35 10 29 11 16 12 23 18 4 33 3 6 27 27 15 6 1:  2.88184%
2:  2.59366%
3:  2.68972%
4:  2.11335%
5:  1.72911%
6:  2.78578%
7:  2.78578%
8:  2.20941%
9:  2.4976%
10:  3.36215%
11:  2.88184%
12:  2.4976%
13:  1.82517%
14:  2.30548%
15:  3.55427%
16:  3.26609%
17:  2.68972%
18:  3.45821%
19:  3.17003%
20:  2.88184%
21:  2.11335%
22:  2.4976%
23:  2.30548%
24:  3.26609%
25:  2.68972%
26:  2.59366%
27:  2.59366%
28:  2.59366%
29:  2.68972%
30:  2.4976%
31:  2.78578%
32:  2.68972%
33:  3.07397%
34:  2.97791%
35:  2.88184%
36:  2.20941%
37:  3.36215%


-- 5 --a:1  --b:37 ---
23 1 9 5 5 15 11 20 36 32 32 17 33 15 17 15 30 28 20 24 8 8 3 26 15 3 19 29 8 19 35 34 13 16 33 4 21 15 28 23 14 10 35 21 23 36 13 4 22 20 28 19 6 12 25 14 4 15 26 27 6 3 8 23 9 24 17 27 6 33 24 36 18 1 30 19 5 5 4 27 16 7 7 14 27 2 21 26 18 32 27 18 3 30 10 26 8 32 20 1 22 6 4 2 18 6 30 24 14 25 13 19 25 12 32 30 15 26 23 21 36 7 26 11 13 31 11 22 28 4 31 29 4 2 2 2 17 21 34 13 33 30 33 4 20 22 21 35 18 24 29 3 4 30 36 10 11 28 28 25 36 27 9 7 28 18 26 30 24 22 31 19 28 21 33 7 12 23 32 7 12 27 2 21 5 16 3 21 11 19 24 27 36 19 34 31 7 6 24 17 8 16 23 29 17 33 32 27 5 35 9 35 19 5 25 15 12 27 14 10 21 32 27 16 18 12 13 13 4 17 29 12 9 8 11 28 13 35 29 29 6 23 35 22 3 26 19 3 18 2 13 14 21 7 35 35 1 12 2 12 11 36 28 26 18 2 26 10 1 4 19 16 21 23 10 4 28 28 34 35 13 34 19 35 22 30 6 2 21 36 17 25 4 26 32 11 3 14 28 8 12 3 4 20 16 22 5 21 21 31 1 20 30 24 27 1 33 9 4 31 31 26 19 14 23 1 28 16 10 3 36 12 18 5 34 2 36 1 24 11 18 15 6 30 26 35 7 10 3 36 27 18 1 17 34 6 33 15 1 32 12 25 10 19 12 25 30 8 28 22 7 25 19 33 15 17 36 25 21 26 2 21 14 22 16 11 1 1 16 24 1 22 28 22 6 34 11 2 15 7 1 11 13 32 32 33 1 28 13 31 13 8 9 16 16 20 11 20 6 8 16 36 12 34 16 11 34 16 20 4 36 10 30 18 2 20 19 12 14 10 4 6 33 25 6 24 10 24 20 9 24 19 5 19 12 26 21 16 30 29 17 31 33 12 9 23 31 31 15 29 11 9 14 29 24 32 3 18 18 17 27 17 23 18 15 26 6 35 20 29 13 21 5 9 19 25 33 21 26 35 21 15 30 7 31 28 17 6 11 17 8 15 17 16 8 3 36 12 33 10 5 25 22 17 18 28 21 26 8 7 21 8 35 6 18 8 24 25 29 12 34 3 12 13 18 3 31 10 33 32 21 35 7 4 25 10 15 12 17 15 17 8 31 27 35 32 24 29 30 5 8 11 34 4 24 24 20 22 28 4 16 31 33 8 16 15 23 4 24 2 31 19 20 20 2 9 8 1 8 25 29 20 4 16 21 7 14 25 3 35 1 6 18 23 14 27 16 11 28 17 35 35 19 1 4 5 11 23 16 35 28 23 7 11 5 36 31 16 5 31 8 13 36 34 10 30 14 6 27 23 6 29 30 19 28 7 19 2 22 16 28 26 32 28 28 9 4 19 20 21 31 25 31 19 19 14 25 36 14 5 22 17 4 16 30 19 33 36 27 34 2 22 32 24 34 21 21 18 2 35 30 20 11 26 18 28 6 15 31 33 12 22 22 16 36 32 2 1 22 5 26 27 9 18 5 22 12 26 6 5 26 13 19 23 6 19 4 25 8 31 31 35 33 32 20 21 3 24 1 28 13 10 11 15 3 4 21 3 2 6 19 20 21 16 20 24 25 33 27 2 26 11 30 20 6 34 32 12 6 20 2 17 35 9 3 25 10 19 18 24 15 13 9 31 33 2 10 30 18 30 22 12 18 21 30 10 25 30 21 4 13 33 4 2 32 11 21 31 25 1 18 4 12 6 9 4 11 20 14 14 29 9 6 1 31 19 23 20 30 1 17 17 17 9 3 33 24 30 34 12 4 15 11 1 4 18 34 18 12 20 33 36 31 27 10 1 23 15 32 1 11 5 11 21 17 20 3 11 29 7 1 24 17 17 7 4 11 35 18 20 8 36 3 33 2 35 25 19 8 20 16 22 27 17 29 32 34 31 15 12 1 26 9 12 2 1 6 1 6 24 22 35 32 33 20 18 30 26 32 22 14 19 35 8 18 8 31 10 31 5 4 17 25 19 1 36 20 8 22 19 1 24 1 27 27 36 23 19 34 15 3 22 28 32 14 32 8 20 11 31 11 7 2 2 8 1 10 24 15 9 9 23 25 11 26 3 2 4 28 3 3 34 35 36 15 2 23 7 23 24 10 26 6 26 36 11 32 24 12 5 17 32 36 33 22 33 26 5 25 21 18 12 19 27 23 22 33 14 15 15 26 28 27 14 24 11 34 26 19 33 6 11 23 35 31 1:  3.34928%
2:  2.96651%
3:  2.67943%
4:  3.44498%
5:  2.29665%
6:  3.0622%
7:  2.00957%
8:  2.87081%
9:  2.10526%
10:  2.29665%
11:  3.44498%
12:  3.0622%
13:  1.91388%
14:  2.10526%
15:  2.87081%
16:  2.67943%
17:  2.96651%
